Datum	IP	Seite	Browser
01.07.2025 12:11:15	::1	/Cash/php-app/Index.php	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:11:20	::1	/Cash/php-app/Index.php?monat=2025-06&TableBuchungen_length=50	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:11:45	::1	/Cash/php-app/Index.php	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:11:53	::1	/Cash/php-app/Index.php?monat=2025-06&TableBuchungen_length=50	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:13:18	::1	/Cash/php-app/Index.php	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:13:22	::1	/Cash/php-app/Index.php?monat=2025-06&TableBuchungen_length=50	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:14:00	::1	/Cash/php-app/Index.php	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:14:03	::1	/Cash/php-app/Index.php?monat=2025-06&TableBuchungen_length=50	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:14:46	::1	/Cash/php-app/Index.php	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:14:48	::1	/Cash/php-app/Index.php?monat=2025-07&TableBuchungen_length=50	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:15:05	::1	/Cash/php-app/Index.php	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
01.07.2025 12:15:07	::1	/Cash/php-app/Index.php?monat=2025-07&TableBuchungen_length=50	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
